sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,afn-fulfillable-quantity-local,afn-fulfillable-quantity-remote,store,report_date
amzn.gr.AMP09102PAN-OGhBtbnnqqL3V6rjI-LN,X002AFQOX3,B0DK6C3PPB,"Spigen Dura Pro Armor Armband Entwickelt für Apple Watch Ultra 3/2/1 49mm, Serie 11/10 46mm, Serie 9/8/7/SE 45mm,44mm Robustes Ersatzarmband mit Metallverbinder - Militärgrün",UsedLikeNew,31.49,No,,Yes,1,1,0,0,1,280.38,0,0,0,0,0,0,1,0,,20260316
ACS06582PAN,B0C5S9JVJR,B0C5S9JVJR,Spigen für iPhone 15 Pro Max Ultra Hybrid MagFit Hülle [Anti-Yellowing] Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Zero One,New,27.99,No,,Yes,0,0,0,0,0,331.18,0,0,0,0,0,30,0,0,,20260309
ACS06492PAN,B0C4G219XJ,B0C4G219XJ,Spigen Rugged Armor Pro Hülle mit Armband Kompatibel mit Samsung Galaxy Watch 6 Classic 43mm 2023 - Schwarz,New,23.99,No,,Yes,47,46,0,1,47,401.65,0,0,0,0,0,0,46,0,,20260304
AGL11068PAN,B0G7S8J7SJ,B0G7S8J7SJ,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy S26 Ultra, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 10H+ Härte Folie",New,23.99,No,,Yes,5855,4700,25,1130,9004,392.96,0,2450,699,0,0,0,4700,0,,20260323
amzn.gr.ACP05757PAN-HcHBaenu-vSNJGLud-LN,X0023ATSDD,B0BP5HZHQR,"Spigen Tesla Model Y 2022-2021 Unter Sitz Aufbewahrungsbox Organizer, Verstecktes Fach für Model Y Zubehör - Carbon Edition",UsedLikeNew,37.79,No,,Yes,2,2,0,0,2,11035.54,0,0,0,0,0,0,2,0,,20260304
AGL08444PAN,B0D85SML7F,B0D85SML7F,"Spigen Glas.tR EZ Fit Optik Kameraschutz kompatibel mit Google Pixel 9 Pro, 2 Stück, Kristallklar, Anti-Kratzer, 9H Härte Schutzfolie",New,17.58,No,,Yes,334,329,0,5,334,322.5,0,0,0,0,0,0,329,0,,20260318
AGP10163PAN,B0FCZTM12L,B0FCZTM12L,Spigen Joy-Con Controller Handle NS101 Lenkrad Kompatibel mit Nintendo Switch 2 Joy-Con (2025) 2 Stück - Schwarz,New,14.99,No,,Yes,83,82,0,1,83,1583.15,0,0,0,0,0,100,82,0,,20260314
ACS10077PAN,B0FD21GLV5,B0FD21GLV5,Spigen iPhone 17 Pro Hülle [2025 Upgrade Kamerasteuerung] Ultra Hybrid T MagFit [Dura Clear Tech] Case Handyhülle Transparent Kompatibel mit MagSafe –Glossy White,New,24.99,No,,Yes,526,455,12,58,556,171.08,0,30,0,1,0,450,455,0,,20260312
AGL05761EUPE,B0BGYTK4N9,B0BGYTK4N9,"Spigen Glas.tR Optik Kameraschutz kompatibel mit iPhone 14 Pro, iPhone 14 Pro Max, 2 Stück, Kristallklar, Hüllenfreundlich, Anti-Kratzer, 9H Härte Folie",New,15.99,Yes,0.0,No,0,0,0,0,0,239.25,0,0,0,0,0,0,0,0,,20260309
AGP10162PAN,B0FCZLWVMQ,B0FCZLWVMQ,Spigen Joy-Con Controller Grip NS100 Kompatibel mit Nintendo Switch 2 Joy-Con (2025) 2 Stück - Schwarz,New,15.99,No,,Yes,143,141,0,2,143,1465.82,0,0,0,0,0,0,141,0,,20260331
amzn.gr.ACP07646PAN-yIWCz6X5ACAoq9sOu-VG,X002EWR8SH,B0CVNM1YTM,"Spigen Tesla Model Y 2025 Juniper Standard & Model 3 Highland 2024 Mittelarmlehne Abdeckung, Armlehne Abdeckung Schutzhülle Innenraum für Tesla Model Y Juniper 2025 und 3 Highland 2024 2025 - Weiß",UsedVeryGood,30.59,No,,Yes,1,1,0,0,1,9438.29,0,0,0,0,0,0,1,0,,20260304
ACS10064PAN,B0FD2GGXR5,B0FD2GGXR5,"Spigen Schutzhülle für iPhone 17 Pro, Ultra-Hybrid, TPU-überzogene Kamerasteuerung, Anti-Vergilbung, kein Magnetring, Kristallklar",New,12.99,No,,Yes,4935,3565,26,1237,5537,270.71,200,400,2,107,0,0,3565,0,,20260303
amzn.gr.ACS08130PAN-H9v05f7a-h3Fn06MC-LN,X002570793,B0D21YVT9X,Spigen für iPhone 16 Pro Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Graphite,UsedLikeNew,21.59,No,,Yes,1,1,0,0,1,303.16,0,0,0,0,0,0,1,0,,20260313
amzn.gr.ACS07526PAN-UJNh03R4WiFH7nKyL-LN,X00246Y3OF,B0CQ3WT7N1,Spigen Liquid Air Hülle für Samsung Galaxy A55 5G aus weIchem TPU Schutzhülle Stoßfest Handyhülle Kratzfest Dünn Robust [Anti-Rutsch Truss Muster] Case Cover -Schwarz,UsedLikeNew,13.49,No,,Yes,9,8,0,1,9,2208.32,0,0,0,0,0,0,8,0,,20260315
ACS07814PAN,B0CXTZRHCX,B0CXTZRHCX,Spigen Ultra Hybrid Pro Hülle Kompatibel mit Samsung Galaxy Z Fold 6 -Frost Gray,New,45.99,No,,Yes,31,31,0,0,31,567.81,0,0,0,0,0,0,31,0,,20260308
AFA05760PAN,B0BGJT615B,B0BGJT615B,"Spigen Valentinus MagFit MagSafe Kartenhalter 3-Karten Kompatibel mit iPhone 17/16/15, andere MagSafe-Modelle und Google Pixel 10-Serie mit Pixelsnap - Schwarz",New,23.99,No,,Yes,519,497,2,18,629,139.13,0,90,20,2,0,0,497,0,,20260331
amzn.gr.AHP03647PAN-F0P7HPvlmPH0H1xD1-VG,X0021YD4IL,B09W2C4WC3,Spigen Valentinus Schlüsselanhänger für Damen und Herren- Schwarz,UsedVeryGood,16.99,No,,Yes,0,0,0,0,0,226.47,0,0,0,0,0,0,0,0,,20260310
ACS11200PAN,B0G7ML9BVQ,B0G7ML9BVQ,Spigen Rugged Armor Hülle Kompatibel mit Samsung Galaxy Buds 4 Pro/Buds 4 (2026) - Matt Schwarz,New,20.99,No,,Yes,421,34,0,387,872,301.52,0,450,1,0,0,0,34,0,,20260315
ACS03674PAN,B09CDB1MDN,B09CDB1MDN,Spigen Thin Fit Hülle Kompatibel mit iPhone 13 Pro Max -Schwarz,New,18.99,No,,Yes,7,7,0,0,7,338.23,0,0,0,0,0,0,7,0,,20260317
amzn.gr.ACS02425PAN-_EaFTENf4hUCIgjhD-VG,X002C5Q5XP,B08LK6461C,Spigen Tough Armor Hülle Kompatibel mit Samsung Galaxy S21 -Schwarz,UsedVeryGood,17.84,No,,Yes,1,0,0,1,1,286.12,0,0,0,0,0,0,0,0,,20260327
AGL07928EUPB,X002BGO20X,B0D84YX465,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro, iPhone 17, iPhone 16 Pro, 2 Stück, Kratzfest, inklusive Installationskit, Kristallklar, 9H Härte Folie",New,17.59,No,,Yes,22518,21848,17,541,22518,374.12,0,0,0,112,0,0,21848,0,,20260326
AGL07928EUPB,X002BGO20X,B0D84YX465,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro, iPhone 17, iPhone 16 Pro, 2 Stück, Kratzfest, inklusive Installationskit, Kristallklar, 9H Härte Folie",New,18.99,No,,Yes,27794,27466,34,166,27794,343.15,0,0,0,128,0,0,27466,0,,20260310
APP04545PAN,B09V1V34TV,B09V1V34TV,"Spigen DA20 Apple Pencil Stifthalter für Pro und 2. Generation Kompatibel mit iPad Pro 11""/ 13"", iPad Air 11"" /13"" und Anderen iPad-Serien - Schwarz",New,29.99,No,,Yes,50,48,0,2,110,179.6,0,60,0,0,0,0,48,0,,20260317
ACS07505PAN,B0CQ326S9N,B0CQ326S9N,Spigen Tough Armor für Samsung Galaxy Xcover 7 Hülle -Black,New,22.99,No,,Yes,226,222,0,3,226,372.31,0,0,0,1,0,0,222,0,,20260321
AFA05760PAN,B0BGJT615B,B0BGJT615B,"Spigen Valentinus MagFit MagSafe Kartenhalter 3-Karten Kompatibel mit iPhone 17/16/15, andere MagSafe-Modelle und Google Pixel 10-Serie mit Pixelsnap - Schwarz",New,23.99,No,,Yes,611,390,1,220,761,139.13,0,150,0,0,0,0,390,0,,20260313
