date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-05,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,10.0,0,0,0.0,0.0,0,149233298161280,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_20_09_01_SP_F31QC_automatic_jsmun_0606,0,0
2026-03-27,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,255688041842966,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_y6prime_imprtest_0705,0,0
2026-03-14,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,70.0,0,0,0.0,0.0,0,119430885224207,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_30_04_03_iphone 13/ 13 pro prv ezfit_1007_grace,0,0
2026-03-03,21.84,manual,3,21.84,16.14,21.84,0,32.76,32.76,0,,21.84,0,2,50.56,2,DAILY_BUDGET,2,ENABLED,3,2,2,50.0,3,2,50.56,1.37,3,536158734140008,32.76,2.393272962483829,32.76,1546,0,,2,3,3,0,EUR,3,,37,12_11_01_03_A_iPhone 17 Pro_SP_Competitor,2,3
2026-03-12,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,80485904218925,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_20_06_01_SP_C10HS_huawei p30 ladekabel_phrase_jsmun_0525,0,0
2026-03-16,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,263641164456079,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_galaxyj5_LC_jinny_0806,0,0
2026-03-02,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,10.0,0,0,0.0,0.0,0,229112763372717,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_12_00_SP_F31QC_kfz ladegerät pd_exact_jsmun_0615,0,0
2026-03-29,40.32,legacy,4,40.32,0.26,40.32,0,78.96,78.96,0,,40.32,0,2,46.51,2,DAILY_BUDGET,2,PAUSED,4,2,2,50.0,4,2,46.51,1.19,4,484105892523489,78.96,0.6678082191780822,78.96,5840,0,,2,4,4,0,EUR,4,,39,12_11_13_01_A_Common_SelfieStick_SP_PriceTest,2,4
2026-03-03,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,130129998743423,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_30_07_03_airtag airskin shield_blk_0629_grace,0,0
2026-03-09,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,60.0,0,0,0.0,0.0,0,106539882104760,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_30_04_03_iphone 13 pro max prv ezfit_1007_grace,0,0
2026-03-20,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,215716299605857,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_30_04_23_Galaxy A72 Optik_0413_grace,0,0
2026-03-15,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,167333144512202,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_15_06_00_lcho_A100_1107,0,0
2026-03-30,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,174769650097498,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_PE2007_auto_yhjung_0901,0,0
2026-03-26,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,PAUSED,0,0,0,45.0,0,0,0.0,0.0,0,515037424518091,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_23_A_Galaxy S25 Ultra_Broad Keyword_250121,0,0
2026-03-10,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,223386215168977,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_26_xiaomi 12/12X_RA_Product_Kate_0421,0,0
2026-03-07,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,20.0,0,0,0.0,0.0,0,184137392147849,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,nbs1_iphone8_thinfitblack_davidkim_0723_test,0,0
2026-03-20,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,251643066593239,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_10_00_SP_C10CL1P_usb c lightning/iphone 11 ladekabel_exact_jsmun_0615,0,0
