item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
Spigen Ultra Hybrid Pro Entwickelt für Samsung Galaxy Tab S9 Hülle (2023) - Grau,,0822AHB63JJ,amzn.gr.ACS06838PAN-2Dw0DcL2OdEGdDeT8-VG,26.34,,22/08/2023 02:37:07 MEST,,y,1,,,2.0,,,,B0C4G86Y1R,,,,,,B0C4G86Y1R,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Samsung Galaxy S9 Hülle, [Slim Armor CS] Variation Parent",,0412UJAOZ72,592CS24032V,,0.0,12/04/2018 05:52:05 MEST,,y,1,,,11.0,,,,B07C4T5SRH,,,,,,B07C4T5SRH,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Silicone Fit Entwickelt für Apple Watch Armband für 40mm/38mm Series 6/SE/5/4/3/2/1 - Schwarz,Das Apple Watch-Band mit Silikon-Passform bietet außergewöhnlichen Komfort und optimale Passform bei einfacher Installation und einstellbarer Länge. Es besteht aus einem weichen Silikonmaterial und bietet ein zeitloses Design für einen alltäglichen Look. Statten Sie Ihre Apple Watch mit Stil und Freizeit aus.,0318VT0399J,061MP25405DEPX,19.99,,18/03/2019 09:55:22 MET,,y,4,,,11.0,,,,B07LFQJWSP,,,,,,8809613768848,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Galaxy A5 2018 [Slim Armor] Variation Parent,,1122SF9QV38,590CS22752V,,0.0,22/11/2017 09:09:04 MET,,y,1,,,11.0,,,,B077P7BFVH,,,,,,B077P7BFVH,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Air Fit Entwickelt für Air Tag Hülle (2020) - Weiß,"Schlank und rutschig. AirFit verwandelt Ihren AirTag in eine Karte, die in jede Spalte, Brieftasche oder Herrenhandtasche passt. Bügeln Sie die Ausbuchtung aus und behalten Sie das Wesentliche im Auge. Wir haben dich",0929XU7964I,AMP01835PAN,17.99,,30/09/2020 00:26:42 MEST,,y,4,,,11.0,,,,B08KFMR2TX,,,,,,8809710757417,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Thin Fit Hülle Kompatibel mit Apple Watch Ultra 3 (2025) / 2 (2023) / 1 (2022) 49mm - Schwarz,"Spigen ist gegründet im Jahr 2008 und seitdem sind unsere Produkte weltweit erhältlich. Was macht unser Produkt einzigartig? Slim Protection. Pünktliche Verfügbarkeit. Große Auswahl an Geräten. Erstklassige Qualität. Unser Ziel ist es, der Branchenführer für mobiles Zubehör zu sein. Unser Ziel ist es, die besten Standards für unsere Produkte zu setzen und gleichzeitig kontinuierlich an der Produktentwicklung zu arbeiten.",0829ZURR2VD,ACS05458PAN,14.99,,29/08/2022 08:50:48 MEST,,y,4,,,11.0,,,,B0BBKGB11N,,,,,,8809811868777,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
"Spigen Glas.tR EZ Fit Schutzglas kompatibel mit iPad Air 13 Zoll M4(2026), M3(2025), Zoll M2(2024), 1. Generation, Installationsschablone, Kristallklar, 9H Folie",,0507BZ3JWMA,AGL07803PAN,28.99,,07/05/2024 09:17:02 MEST,,y,4,,,11.0,,,,B0CWSH8F9L,,,,,,8809971227438,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Liquid Air Folio Hülle Kompatibel mit iPad Pro 11 Zoll M5 (2025) / M4 (2024) Chip Leicht und Dünn Case mit Hartschale Auto Schlaf/Wach Funktion Stiftfreundlich - Schwarz,,0107HMETMYS,amzn.gr.ACS09440PAN-mEsViZjgUaDz2WHDr-VG,13.59,,07/01/2026 12:14:52 MET,,y,1,,Geringfügiger Schönheitsfehler an der Innenseite des Artikels. Der Artikel wird in der Originalverpackung zugestellt. Verpackung ist beschädigt.,2.0,,,,B0F16C514W,,,,,,B0F16C514W,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Liquid Crystal Glitter Schutzhülle kompatibel mit iPhone 13 - Crystal Quartz,,0402B99F9IG,amzn.gr.ACS03516PAN-9MabsszBVFDwJf3dZ-VG,15.29,,03/04/2024 00:00:37 MEST,,y,1,,,2.0,,,,B096HD52WM,,,,,,B096HD52WM,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Slim Armor CS Hülle Kompatibel mit Samsung Galaxy S21 Ultra,,1211XKMO034,ACS02357V,,0.0,11/12/2020 08:51:11 MET,,y,1,,,11.0,,,,B08QC9W37W,,,,,,B08QC9W37W,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
